,time,flux
13639,1731.6747118923863,472.6727
13640,1731.6761007837022,475.39948
13641,1731.677489675019,473.25095
13642,1731.6788785663357,464.8363
13643,1731.6802674576527,478.72565
13644,1731.6816563489704,460.55255
13645,1731.6830452402892,473.13815
13646,1731.6844341316078,486.5005
13647,1731.6858230229273,478.48212
13648,1731.687211914247,480.00378
13649,1731.6886008055676,483.50537
13650,1731.6899896968896,497.72537
13651,1731.6913785882118,497.34802
13652,1731.692767479534,498.77444
13653,1731.6941563708565,494.6636
13654,1731.6955452621798,493.72952
13655,1731.6969341535032,506.95157
13656,1731.6983230448282,507.993
13657,1731.699711936153,497.97302
13658,1731.7011008274799,518.3722
13659,1731.7024897188073,520.76624
13660,1731.7038786101334,518.4636
13661,1731.7052675014604,521.76086
13662,1731.7066563927883,514.4816
13663,1731.7080452841178,525.7396
13664,1731.7094341754464,524.4593
13665,1731.7108230667768,527.37854
13666,1731.7122119581068,532.08765
13667,1731.7136008494372,533.9983
13668,1731.71498974077,538.1476
13669,1731.7163786321023,538.95166
13670,1731.7177675234348,546.887
13671,1731.719156414768,563.8948
13672,1731.7205453061013,574.1059
13673,1731.7219341974355,570.3896
13674,1731.7233230887705,583.5484
13675,1731.7247119801054,574.2387
13676,1731.7261008714431,575.9745
13677,1731.7274897627806,590.6845
13678,1731.7288786541174,594.8354
13679,1731.7302675454553,595.1872
13680,1731.7316564367934,593.4854
13681,1731.733045328132,607.9841
13682,1731.7344342194715,599.13214
13683,1731.735823110812,595.26715
13684,1731.7372120021532,608.46405
13685,1731.7386008934945,597.28625
13686,1731.739989784836,596.4841
13687,1731.7413786761786,605.3445
13688,1731.7427675675217,603.5102
13689,1731.7441564588657,611.84033
13690,1731.7455453502098,601.82056
13691,1731.746934241554,602.2018
13692,1731.7483231328993,588.37195
13693,1731.749712024246,594.0906
13694,1731.7511009155926,597.05676
13695,1731.7524898069403,603.0415
13696,1731.7538786982882,594.3623
13697,1731.7552675896352,596.69574
13698,1731.756656480984,599.3717
13699,1731.7580453723335,587.1692
13700,1731.759434263683,576.3898
13701,1731.7608231550337,577.0913
13702,1731.7622120463857,583.7481
13703,1731.763600937738,566.95166
13704,1731.7649898290888,559.99493
13705,1731.766378720442,568.04584
13706,1731.767767611796,556.01697
13707,1731.76915650315,508.89383
13708,1731.770545394504,467.0174
13709,1731.7719342858595,433.41187
13710,1731.7733231772138,420.02533
13711,1731.7747120685713,415.38477
13712,1731.7761009599287,406.0061
13713,1731.7774898512866,400.4337
13714,1731.7788787426443,389.15994
13715,1731.7802676340023,394.55933
13716,1731.781656525361,396.5157
13717,1731.7830454167206,405.11447
13718,1731.7844343080812,405.6418
13719,1731.7858231994433,408.41998
13720,1731.7872120908053,416.09396
13721,1731.7886009821668,422.0669
13722,1731.7899898735295,422.29755
13723,1731.7913787648927,444.24176
13724,1731.7927676562567,471.02762
13725,1731.7941565476208,501.12244
13726,1731.795545438986,514.69403
13727,1731.7969343303512,522.553
13728,1731.798323221717,523.404
13729,1731.7997121130845,551.11597
13730,1731.8011010044524,555.6151
13731,1731.8024898958201,566.1043
13732,1731.8038787871888,576.2998
13733,1731.8052676785567,583.0241
13734,1731.8066565699264,585.0059
13735,1731.808045461297,573.04974
13736,1731.8094343526675,588.3418
13737,1731.8108232440395,594.2241
13738,1731.8122121354127,594.3989
13739,1731.8136010267842,602.532
13740,1731.8149899181567,605.0232
13741,1731.8163788095308,598.4765
13742,1731.8177677009048,599.7764
13743,1731.81915659228,613.18884
13744,1731.820545483656,614.0652
13745,1731.8219343750318,609.9646
13746,1731.823323266408,612.7188
13747,1731.8247121577856,599.597
13748,1731.8261010491633,614.3096
13749,1731.827489940542,606.7895
13750,1731.8288788319205,615.0629
13751,1731.8302677232996,603.26044
13752,1731.8316566146793,603.9698
13753,1731.8330455060598,619.43176
13754,1731.8344343974418,628.0246
13755,1731.835823288825,621.33435
13756,1731.8372121802072,615.33435
13757,1731.8386010715897,619.7129
13758,1731.8399899629721,629.28217
13759,1731.8413788543562,617.53705
13760,1731.8427677457414,614.10394
13761,1731.8441566371264,614.31146
13762,1731.8455455285123,602.056
13763,1731.8469344198998,602.2402
13764,1731.8483233112868,590.07544
13765,1731.8497122026738,602.8997
13766,1731.8511010940624,590.65955
13767,1731.852489985451,582.63367
13768,1731.8538788768406,578.8208
13769,1731.8552677682312,565.4796
13770,1731.856656659621,563.5687
13771,1731.8580455510116,565.2406
13772,1731.8594344424037,560.42725
13773,1731.8608233337968,565.70874
13774,1731.86221222519,565.09906
13775,1731.863601116584,541.9135
13776,1731.8649900079768,535.1941
13777,1731.866378899371,548.2482
13778,1731.867767790766,526.7803
13779,1731.8691566821628,529.63544
13780,1731.8705455735594,532.01306
13781,1731.8719344649571,531.2796
13782,1731.8733233563541,525.74615
13783,1731.874712247752,514.8456
13784,1731.8761011391507,514.0762
13785,1731.8774900305493,510.51462
13786,1731.87887892195,501.8657
13787,1731.8802678133504,497.35092
13788,1731.881656704751,487.09915
13789,1731.8830455961524,489.21014
13790,1731.8844344875556,487.4558
13791,1731.8858233789588,483.4846
